"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,0,0,0,0,0,0,20240610,20241214
2,0,0,0,0,0,0,0,20240610,20241214
3,0,0,0,0,0,0,0,20240610,20241214
4,1,1,1,1,1,0,0,20240610,20241214
5,0,0,0,0,0,0,0,20240610,20241214
6,1,1,1,1,1,0,0,20240610,20241214
7,0,0,0,0,0,0,0,20240610,20241214
8,0,0,0,0,0,0,0,20240610,20241214
9,0,0,0,0,0,0,0,20240610,20241214
10,0,0,0,0,0,0,0,20240610,20241214
11,0,0,0,0,0,0,0,20240610,20241214
12,0,0,0,0,0,0,0,20240610,20241214
13,0,0,0,0,0,0,0,20240610,20241214
14,0,0,0,0,0,0,0,20240610,20241214
15,0,0,0,0,0,0,0,20240610,20241214
16,0,0,0,0,0,0,0,20240610,20241214
17,0,0,0,0,0,0,0,20240610,20241214
18,0,0,0,0,0,0,0,20240610,20241214
19,1,1,1,0,0,0,0,20240610,20241214
20,0,0,0,0,0,0,0,20240610,20241214
21,0,0,0,0,0,1,0,20240610,20241214
22,0,0,0,0,0,0,1,20240610,20241214
23,1,1,1,1,1,0,1,20240610,20241214
24,1,1,1,1,1,1,1,20240610,20241214
25,0,0,0,0,0,1,1,20240610,20241214
26,1,1,1,1,1,1,0,20240610,20241214
27,1,1,1,1,1,0,0,20240610,20241214
28,0,0,0,0,0,0,0,20240610,20241214
29,0,0,0,0,0,1,1,20240610,20241214
30,0,0,0,0,0,1,0,20240610,20241214
31,1,1,1,1,1,1,0,20240610,20241214
32,0,0,0,0,0,0,1,20240610,20241214
33,1,1,1,1,1,1,1,20240610,20241214
34,0,0,0,0,0,0,0,20240610,20241214
35,0,0,0,0,0,0,0,20240610,20241214
36,0,0,0,0,0,0,0,20240610,20241214
37,0,0,0,0,0,0,0,20240610,20241214
38,0,0,0,0,0,0,0,20240610,20241214
39,0,0,0,0,0,0,0,20240610,20241214
40,0,0,0,0,1,0,0,20240610,20241214
41,0,1,0,0,1,0,0,20240610,20241214
42,1,1,1,1,0,0,0,20240610,20241214
43,0,0,0,0,1,1,1,20240610,20241214
44,0,0,0,0,1,1,0,20240610,20241214
45,0,0,0,0,1,0,0,20240610,20241214
46,0,0,0,0,0,1,0,20240610,20241214
47,1,1,1,0,0,0,0,20240610,20241214
48,0,0,0,0,1,1,0,20240610,20241214
49,0,0,0,0,0,0,0,20240610,20241214
50,1,1,1,1,1,0,0,20240610,20241214
51,1,1,1,1,1,1,0,20240610,20241214
52,0,0,0,0,0,0,1,20240610,20241214
53,0,0,0,0,0,1,0,20240610,20241214
54,0,0,0,0,0,1,1,20240610,20241214
55,1,1,1,1,1,1,1,20240610,20241214
56,0,0,0,0,0,0,0,20240610,20241214
57,0,0,0,0,0,0,0,20240610,20241214
58,0,0,0,0,0,0,0,20240610,20241214
59,0,0,0,0,0,0,0,20240610,20241214
60,0,0,0,0,0,0,0,20240610,20241214
61,0,0,0,0,0,0,0,20240610,20241214
62,1,1,1,1,1,0,0,20240610,20241214
63,1,1,1,1,0,0,1,20240610,20241214
64,1,1,0,0,0,0,0,20240610,20241214
65,0,0,0,0,0,0,0,20240610,20241214
66,0,0,0,0,0,0,0,20240610,20241214
67,0,0,1,1,1,1,0,20240610,20241214
68,0,0,1,1,1,0,0,20240610,20241214
69,0,0,1,1,1,0,0,20240610,20241214
70,0,0,0,0,0,1,0,20240610,20241214
71,0,0,0,0,0,0,1,20240610,20241214
72,0,0,1,1,1,1,0,20240610,20241214
73,1,1,0,0,0,0,0,20240610,20241214
74,1,1,0,0,0,0,0,20240610,20241214
75,0,0,0,0,0,0,0,20240610,20241214
76,0,0,0,0,1,1,0,20240610,20241214
77,0,0,0,0,1,0,0,20240610,20241214
78,0,0,0,0,0,0,0,20240610,20241214
79,0,0,0,0,0,0,0,20240610,20241214
80,0,0,0,0,1,0,0,20240610,20241214
81,0,0,0,0,1,0,0,20240610,20241214
82,0,0,0,0,0,0,0,20240610,20241214
83,0,0,0,1,1,0,0,20240610,20241214
84,1,1,1,0,1,0,0,20240610,20241214
85,0,0,1,0,0,0,0,20240610,20241214
86,1,1,0,1,0,0,0,20240610,20241214
87,0,0,1,0,1,0,0,20240610,20241214
88,1,1,1,1,1,0,0,20240610,20241214
89,1,1,1,1,1,0,0,20240610,20241214
90,0,0,0,0,0,1,0,20240610,20241214
91,1,1,1,1,1,1,0,20240610,20241214
92,0,0,0,0,0,0,1,20240610,20241214
93,1,1,1,1,1,1,1,20240610,20241214
94,0,0,0,0,0,0,0,20240610,20241214
95,0,0,0,0,0,0,0,20240610,20241214
96,0,0,0,0,0,0,0,20240610,20241214
97,0,0,0,0,0,0,0,20240610,20241214
98,0,0,0,0,0,0,0,20240610,20241214
99,0,0,0,0,0,0,0,20240610,20241214
100,0,0,0,0,0,0,0,20240610,20241214
101,0,0,0,0,0,0,0,20240610,20241214
102,0,0,0,0,0,0,0,20240610,20241214
103,0,0,0,0,0,0,0,20240610,20241214
104,0,0,0,0,0,0,0,20240610,20241214
105,1,1,1,1,1,0,0,20240610,20241214
106,0,0,0,0,0,1,0,20240610,20241214
107,0,0,0,0,0,0,1,20240610,20241214
108,1,1,1,1,1,1,0,20240610,20241214
109,0,0,0,0,0,1,1,20240610,20241214
110,1,1,1,1,1,1,1,20240610,20241214
111,1,1,1,1,1,0,0,20240610,20241214
112,0,0,0,0,0,0,0,20240610,20241214
113,0,0,0,0,0,1,0,20240610,20241214
114,0,0,0,0,0,0,0,20240610,20241214
115,0,0,0,0,0,0,1,20240610,20241214
116,0,0,0,0,0,0,0,20240610,20241214
117,1,1,1,1,1,1,0,20240610,20241214
118,0,0,0,0,0,0,0,20240610,20241214
119,0,0,0,0,0,0,0,20240610,20241214
120,1,1,1,0,1,0,0,20240610,20241214
121,0,0,0,0,0,0,0,20240610,20241214
122,1,1,0,1,0,0,1,20240610,20241214
123,1,1,1,1,1,0,0,20240610,20241214
124,0,0,0,0,0,0,0,20240610,20241214
125,1,1,1,1,1,1,0,20240610,20241214
126,1,1,1,1,0,0,1,20240610,20241214
127,1,1,1,1,1,1,1,20240610,20241214
128,0,0,0,0,0,1,1,20240610,20241214
129,1,1,1,1,1,0,1,20240610,20241214
130,0,0,0,0,1,1,0,20240610,20241214
131,0,0,0,0,0,0,0,20240610,20241214
132,0,0,0,0,0,0,0,20240610,20241214
133,0,0,0,0,0,0,0,20240610,20241214
134,0,0,0,0,0,0,0,20240610,20241214
135,0,0,0,0,0,0,0,20240610,20241214
136,0,0,0,0,0,0,0,20240610,20241214
137,1,1,1,1,1,0,0,20240610,20241214
138,0,0,0,0,0,0,0,20240610,20241214
139,0,0,0,0,0,0,0,20240610,20241214
140,0,0,0,0,0,0,0,20240610,20241214
141,0,0,0,0,0,0,0,20240610,20241214
142,0,0,0,0,0,0,0,20240610,20241214
143,0,0,0,0,0,0,0,20240610,20241214
144,0,0,0,0,0,0,0,20240610,20241214
145,1,1,1,1,1,1,1,20240610,20241214
146,0,0,0,0,0,0,0,20240610,20241214
147,0,0,0,0,0,1,1,20240610,20241214
148,1,1,1,1,1,1,1,20240610,20241214
149,1,1,1,0,1,0,0,20240610,20241214
150,0,0,0,0,0,1,0,20240610,20241214
151,1,1,1,1,1,1,1,20240610,20241214
152,0,0,0,0,0,1,1,20240610,20241214
153,1,1,1,1,1,1,1,20240610,20241214
154,0,0,0,0,0,0,0,20240610,20241214
155,0,0,0,0,0,0,0,20240610,20241214
156,0,0,0,0,0,0,0,20240610,20241214
157,0,0,0,0,0,0,0,20240610,20241214
158,0,0,0,0,0,1,1,20240610,20241214
159,0,0,0,0,0,1,0,20240610,20241214
160,1,1,1,1,1,1,1,20240610,20241214
161,0,0,0,0,1,1,0,20240610,20241214
162,1,1,1,1,1,0,0,20240610,20241214
163,0,0,0,0,0,0,0,20240610,20241214
164,1,1,1,1,1,1,0,20240610,20241214
165,1,1,1,1,1,0,0,20240610,20241214
166,1,1,1,1,1,0,0,20240610,20241214
167,0,0,0,0,0,0,0,20240610,20241214
168,0,0,0,0,0,1,0,20240610,20241214
169,1,1,1,1,1,1,0,20240610,20241214
170,0,0,0,0,0,0,1,20240610,20241214
171,1,1,1,1,1,1,1,20240610,20241214
172,0,0,0,0,0,1,1,20240610,20241214
173,0,0,0,0,0,1,0,20240610,20241214
174,0,0,0,0,0,0,0,20240610,20241214
175,0,0,0,0,0,0,0,20240610,20241214
176,0,0,0,0,0,0,0,20240610,20241214
177,0,0,0,0,0,0,0,20240610,20241214
178,1,1,1,1,1,0,0,20240610,20241214
179,0,0,0,0,0,0,0,20240610,20241214
180,0,0,0,0,0,0,0,20240610,20241214
181,0,0,0,0,0,0,0,20240610,20241214
182,0,0,0,0,0,0,0,20240610,20241214
183,0,0,0,0,0,0,0,20240610,20241214
184,0,0,0,0,0,0,0,20240610,20241214
185,0,0,0,0,0,0,0,20240610,20241214
186,0,0,0,0,0,0,0,20240610,20241214
187,1,1,1,1,1,1,1,20240610,20241214
188,1,1,1,1,1,0,0,20240610,20241214
189,0,0,0,0,0,1,1,20240610,20241214
190,0,0,0,0,0,1,0,20240610,20241214
191,0,0,0,0,0,0,1,20240610,20241214
192,1,1,1,1,1,1,0,20240610,20241214
193,0,0,0,0,1,1,0,20240610,20241214
194,0,0,0,0,0,0,0,20240610,20241214
195,0,0,0,0,0,1,1,20240610,20241214
196,1,1,1,1,1,1,0,20240610,20241214
197,1,1,1,1,1,1,1,20240610,20241214
198,1,1,1,1,0,0,0,20240610,20241214
199,1,1,1,1,1,0,0,20240610,20241214
200,1,1,1,1,1,1,0,20240610,20241214
201,0,0,0,0,0,1,0,20240610,20241214
202,0,0,0,0,0,1,1,20240610,20241214
203,0,0,0,0,0,0,0,20240610,20241214
204,0,0,0,0,0,0,0,20240610,20241214
205,1,1,1,1,1,0,0,20240610,20241214
206,0,0,0,0,0,0,0,20240610,20241214
207,0,0,0,0,0,1,0,20240610,20241214
208,0,0,0,0,0,0,0,20240610,20241214
209,0,0,0,0,0,0,1,20240610,20241214
210,0,0,0,0,0,0,0,20240610,20241214
211,0,0,0,0,0,1,1,20240610,20241214
212,0,0,0,0,0,0,0,20240610,20241214
213,1,1,1,1,1,1,1,20240610,20241214
214,0,0,0,0,0,0,0,20240610,20241214
215,0,0,0,0,1,1,0,20240610,20241214
216,1,1,1,1,1,1,0,20240610,20241214
217,0,0,0,0,0,0,0,20240610,20241214
218,0,0,0,0,0,0,0,20240610,20241214
219,0,0,0,0,0,0,0,20240610,20241214
220,0,0,0,0,1,0,0,20240610,20241214
221,0,0,0,0,0,0,0,20240610,20241214
222,0,0,0,0,1,1,0,20240610,20241214
223,1,1,1,1,1,0,0,20240610,20241214
224,1,1,1,1,1,0,0,20240610,20241214
225,0,0,0,0,0,0,0,20240610,20241214
226,1,1,1,1,0,0,0,20240610,20241214
227,0,0,0,0,1,1,0,20240610,20241214
228,0,0,0,0,0,0,0,20240610,20241214
229,1,1,1,1,1,0,0,20240610,20241214
230,0,0,0,0,0,0,0,20240610,20241214
231,0,0,0,0,0,0,0,20240610,20241214
232,0,0,0,0,0,0,0,20240610,20241214
